BTC-USD,ETH-USD,XRP-USD,SOL-USD,BNB-USD
6865.4931640625,158.41244506835938,0.18746399879455566,0.9510539770126343,13.737724304199219
6859.0830078125,158.2160186767578,0.18806299567222595,0.7768189907073975,13.804287910461426
6971.091796875,161.14242553710938,0.19013500213623047,0.8825070261955261,14.375110626220703
6845.03759765625,156.27955627441406,0.18773199617862701,0.7778319716453552,15.03442668914795
6842.427734375,157.5963897705078,0.18533499538898468,0.6619250178337097,15.525075912475586
6642.10986328125,153.28689575195312,0.18127000331878662,0.646651029586792,14.593927383422852
7116.80419921875,172.15737915039062,0.19010399281978607,0.6908159852027893,15.702730178833008
7096.1845703125,171.63858032226562,0.190201997756958,0.6607279777526855,15.735082626342773
7257.6650390625,186.91400146484375,0.194924995303154,0.6810960173606873,16.593172073364258
7189.4248046875,181.61495971679688,0.19085900485515594,0.6069689989089966,16.13993263244629
6881.95849609375,172.2971649169922,0.18348999321460724,0.538811981678009,15.085403442382812
6880.3232421875,172.73770141601562,0.18432800471782684,0.5876590013504028,15.205772399902344
7117.20751953125,182.59957885742188,0.18796999752521515,0.6916009783744812,15.693160057067871
7429.724609375,185.02867126464844,0.19171099364757538,0.6274570226669312,16.006208419799805
7550.90087890625,189.2369384765625,0.19366499781608582,0.6342419981956482,16.01641845703125
7569.93603515625,195.5153045654297,0.19505399465560913,0.6433290243148804,16.305418014526367
7679.8671875,197.31753540039062,0.19680500030517578,0.6355059742927551,16.38376808166504
7795.60107421875,197.22471618652344,0.19797800481319427,0.5723720192909241,16.463214874267578
7807.05859375,198.41539001464844,0.21548399329185486,0.6612930297851562,16.444286346435547
8801.0380859375,216.96823120117188,0.2274319976568222,0.7458400130271912,17.4937744140625
8658.5537109375,207.60205078125,0.21276099979877472,0.6910449862480164,17.03397560119629
8864.7666015625,214.21910095214844,0.2192479968070984,0.7287939786911011,17.564992904663086
8988.5966796875,215.32537841796875,0.2239139974117279,0.7158759832382202,17.584903717041016
8897.46875,210.9331512451172,0.21941399574279785,0.6795349717140198,17.126298904418945
8912.654296875,208.17401123046875,0.21896299719810486,0.6674910187721252,17.10075569152832
9003.0703125,206.77439880371094,0.21646299958229065,0.6418370008468628,16.919775009155273
9268.76171875,204.0557861328125,0.21521000564098358,0.6225839853286743,16.657045364379883
9951.5185546875,212.28941345214844,0.21891699731349945,0.6129779815673828,17.013198852539062
9842.666015625,212.9915771484375,0.21982699632644653,0.6049219965934753,17.24147605895996
9593.896484375,211.60012817382812,0.2169020026922226,0.6045269966125488,16.93596076965332
8756.4306640625,188.5995635986328,0.19817599654197693,0.5370339751243591,15.295668601989746
8601.7958984375,185.912841796875,0.19406400620937347,0.5152729749679565,15.09754467010498
8804.4775390625,189.3125,0.19763700664043427,0.5385760068893433,15.741053581237793
9269.9873046875,199.1932830810547,0.20148000121116638,0.5505319833755493,16.138877868652344
9733.7216796875,202.9490966796875,0.20312899351119995,0.5691180229187012,16.357799530029297
9328.197265625,195.62266540527344,0.19891099631786346,0.5597519874572754,15.754373550415039
9377.013671875,200.6771240234375,0.20003199577331543,0.599120020866394,16.051780700683594
9670.7392578125,207.15869140625,0.20125499367713928,0.6129890084266663,16.314645767211914
9726.5751953125,214.52505493164062,0.2051759958267212,0.6526700258255005,16.63626480102539
9729.0380859375,213.45111083984375,0.20402799546718597,0.6244540214538574,17.1546630859375
9522.9814453125,210.09674072265625,0.20170700550079346,0.5791559815406799,16.888025283813477
9081.76171875,199.88360595703125,0.19550900161266327,0.6089149713516235,16.12238121032715
9182.5771484375,207.169189453125,0.20034299790859222,0.6388750076293945,16.63959312438965
9209.287109375,208.69439697265625,0.19885599613189697,0.6130310297012329,16.588193893432617
8790.3681640625,202.37034606933594,0.19543099403381348,0.5490530133247375,16.083438873291016
8906.9345703125,205.3197479248047,0.19732700288295746,0.6008570194244385,16.400907516479492
8835.052734375,201.90231323242188,0.19397500157356262,0.5733069777488708,16.212547302246094
9181.017578125,208.86343383789062,0.19785700738430023,0.5909850001335144,16.493284225463867
9525.7509765625,219.84042358398438,0.20059500634670258,0.5751550197601318,17.05933952331543
9439.1240234375,220.6751251220703,0.1983480006456375,0.5794150233268738,17.041629791259766
9700.4140625,242.34559631347656,0.20622000098228455,0.5879330039024353,17.743417739868164
9461.05859375,230.9757080078125,0.20290599763393402,0.5700219869613647,17.04047203063965
10167.2685546875,246.99176025390625,0.21024900674819946,0.5774949789047241,17.914941787719727
9529.8037109375,237.21905517578125,0.20276400446891785,0.5646690130233765,17.239303588867188
9656.7177734375,244.1793212890625,0.20366300642490387,0.5866209864616394,17.5454044342041
9800.63671875,244.4263916015625,0.2049819976091385,0.5872989892959595,17.565874099731445
9665.533203125,241.22198486328125,0.20409199595451355,0.6611549854278564,17.688785552978516
9653.6796875,241.9313201904297,0.20314200222492218,0.6224430203437805,17.535934448242188
9758.8525390625,245.16725158691406,0.20344899594783783,0.6165779829025269,17.44703483581543
9771.4892578125,246.30990600585938,0.20377099514007568,0.6683130264282227,17.393030166625977
9795.7001953125,244.9114532470703,0.20201300084590912,0.6580020189285278,17.43537712097168
9870.0947265625,247.4449462890625,0.2029380053281784,0.6448670029640198,17.41046714782715
9321.78125,231.70266723632812,0.1901800036430359,0.5737419724464417,16.30892562866211
9480.84375,237.4932098388672,0.19394299387931824,0.5938689708709717,16.669139862060547
9475.27734375,238.90884399414062,0.19310599565505981,0.608942985534668,16.823734283447266
9386.7880859375,234.1147003173828,0.1916169971227646,0.5870770215988159,16.65624237060547
9450.7021484375,229.9289093017578,0.19307400286197662,0.5706390142440796,16.384801864624023
9538.0244140625,234.41616821289062,0.19130699336528778,0.5855759978294373,16.42195701599121
9480.2548828125,233.0282745361328,0.19344300031661987,0.5815619826316833,16.402542114257812
9411.8408203125,232.10116577148438,0.1909569948911667,0.6209560036659241,16.208589553833008
9288.0185546875,227.13829040527344,0.18679000437259674,0.684332013130188,15.907086372375488
9332.3408203125,229.27426147460938,0.18850000202655792,0.6435909867286682,16.04755973815918
9303.6298828125,228.9898223876953,0.18560999631881714,0.6731489896774292,16.0012264251709
9648.7177734375,242.53318786621094,0.18927200138568878,0.7268480062484741,16.47528839111328
9629.658203125,244.14215087890625,0.1886799931526184,0.7082970142364502,16.42256736755371
9313.6103515625,235.7724609375,0.18427200615406036,0.7369940280914307,16.026758193969727
9264.8134765625,232.94448852539062,0.183569997549057,0.7131940126419067,15.922709465026855
9162.91796875,229.6680450439453,0.18267099559307098,0.7411440014839172,15.749223709106445
9045.390625,222.9597930908203,0.17685100436210632,0.7135480046272278,15.185254096984863
9143.58203125,225.34716796875,0.1776919960975647,0.7984949946403503,15.420088768005371
9190.8544921875,228.1948699951172,0.17795899510383606,0.8524540066719055,15.505231857299805
9137.9931640625,226.31500244140625,0.17587000131607056,0.8600940108299255,15.413581848144531
9228.3251953125,231.11341857910156,0.17697599530220032,0.8326420187950134,15.829460144042969
9123.41015625,229.39219665527344,0.17724399268627167,0.7802190184593201,15.538490295410156
9087.3037109375,225.38706970214844,0.17633600533008575,0.7680929899215698,15.291961669921875
9132.48828125,229.07411193847656,0.17798399925231934,0.7803720235824585,15.55298137664795
9073.9423828125,227.6645965576172,0.1770170032978058,0.6916639804840088,15.480225563049316
9375.474609375,241.51022338867188,0.18856699764728546,0.7079079747200012,16.296770095825195
9252.27734375,239.07553100585938,0.18478700518608093,0.7530480027198792,16.770225524902344
9428.3330078125,246.67001342773438,0.20469200611114502,0.7967129945755005,17.227657318115234
9277.9677734375,243.01596069335938,0.20291000604629517,0.8534529805183411,16.884868621826172
9278.8076171875,240.9849853515625,0.1986519992351532,0.9135599732398987,17.26125144958496
9240.3466796875,239.4581756591797,0.20119699835777283,0.9246240258216858,17.62217903137207
9276.5,242.13169860839844,0.20053799450397491,1.0167160034179688,18.23654556274414
9243.6142578125,239.60458374023438,0.1985750049352646,1.175734043121338,18.409563064575195
9243.2138671875,240.21148681640625,0.19880899786949158,1.148074984550476,18.082908630371094
9192.8369140625,238.42352294921875,0.19711099565029144,1.289597988128662,17.591215133666992
9132.2275390625,233.64088439941406,0.19404800236225128,0.8724409937858582,17.143842697143555
9151.392578125,232.77308654785156,0.19428099691867828,0.9778370261192322,17.08497428894043
9159.0400390625,235.4838104248047,0.19934099912643433,0.9665830135345459,17.126710891723633
9185.8173828125,238.48751831054688,0.19913500547409058,0.9203490018844604,17.955778121948242
9164.2314453125,236.15316772460938,0.19506500661373138,0.8730890154838562,17.484708786010742
9374.8876953125,245.0167236328125,0.19898800551891327,0.9771659970283508,17.715408325195312
9525.36328125,262.1906433105469,0.203342005610466,1.0440870523452759,18.091907501220703
9581.072265625,274.6890563964844,0.20757800340652466,1.0498440265655518,18.673295974731445
9536.892578125,279.2154235839844,0.2040490061044693,0.9953460097312927,19.15290069580078
9677.11328125,304.0567626953125,0.21410199999809265,1.252223014831543,19.77642250061035
9905.1669921875,309.64361572265625,0.21498200297355652,1.5651099681854248,19.521024703979492
10990.873046875,321.51409912109375,0.22367200255393982,1.7786359786987305,19.620328903198242
10912.8232421875,316.6572570800781,0.23027700185775757,1.7840670347213745,20.173547744750977
11100.4677734375,318.1908874511719,0.24309900403022766,1.6582889556884766,19.89558982849121
11111.2138671875,334.5866394042969,0.24452200531959534,1.6868070363998413,20.01273536682129
11323.466796875,345.5546569824219,0.25890401005744934,1.5381779670715332,20.66814613342285
11759.5927734375,385.19970703125,0.2895289957523346,1.526610016822815,21.530431747436523
11053.6142578125,370.6717224121094,0.28706198930740356,1.7428100109100342,20.944887161254883
11246.3486328125,386.295166015625,0.30994001030921936,1.802610993385315,22.055011749267578
11205.892578125,389.87548828125,0.3004930019378662,1.8716390132904053,22.28258514404297
11747.0224609375,401.590576171875,0.30331099033355713,1.7545499801635742,23.336217880249023
11779.7734375,394.9619445800781,0.3035840094089508,2.206347942352295,22.707660675048828
11601.47265625,379.5128479003906,0.2946639955043793,2.0859029293060303,22.311546325683594
11754.0458984375,393.98736572265625,0.29402199387550354,2.4736249446868896,22.87811851501465
11675.7392578125,391.1204528808594,0.2886529862880707,2.6652278900146484,22.475536346435547
11878.111328125,395.8875732421875,0.29465898871421814,3.1317930221557617,22.61379623413086
11410.525390625,380.3840637207031,0.2844490110874176,3.3034191131591797,21.25694465637207
11584.9345703125,391.024169921875,0.2849299907684326,3.7697510719299316,21.751449584960938
11784.1376953125,428.7417907714844,0.2978070080280304,3.7559709548950195,22.075544357299805
11768.87109375,437.3978271484375,0.300370991230011,3.4093880653381348,23.069791793823242
11865.6982421875,433.35491943359375,0.2996610105037689,3.1837949752807617,23.021751403808594
11892.8037109375,433.78662109375,0.30349200963974,3.385653018951416,23.497102737426758
12254.40234375,429.53125,0.3147670030593872,3.0986080169677734,23.510103225708008
11991.2333984375,423.6693115234375,0.3033069968223572,3.3299760818481445,23.067180633544922
11758.283203125,406.4637756347656,0.29024600982666016,2.899040937423706,22.310396194458008
11878.3720703125,416.4397888183594,0.2925730049610138,3.2082669734954834,23.092575073242188
